parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-18-03-09-000,541 PUTNAM AVE,"$8,900.00",,,,,,,,
81-18-03-16-000,542 WOODLAWN AVE,"$26,000.00",2,1901,3,2,0,1666,YES,854
81-18-03-17-000,534 WOODLAWN AVE,"$15,300.00",,,,,,,,
81-18-03-18-000,526 WOODLAWN AVE,"$35,600.00",2,1901,6,3,0,3814,YES,1912
81-19-01-01-000,280 MUSKINGUM AVE,"$152,600.00",,,,,,,,
81-21-01-08-000,MOXAHALA AVE & RT 555,"$41,000.00",,,,,,,,
81-23-01-01-000,936 ARCADIA LN,"$95,100.00",1,1901,2,1,0,1218,YES,1218
81-28-01-02-000,1040 ARCADIA LN,"$6,800.00",,,,,,,,
81-28-01-07-000,988 WAYNE AVE,"$93,700.00",2,1952,4,2,0,2160,YES,1080
81-29-01-02-001,ARCADIA LN,"$2,900.00",,,,,,,,
