parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-05-03-18-000,125 PIERCE ST,"$3,300.00",,,,,,,,
81-05-03-20-000,113 PIERCE ST,"$15,000.00",1.5,1901,2,1,0,1160,YES,240
81-05-03-26-000,841 MOXAHALA AVE,"$18,700.00",1.5,1901,3,1,0,1680,YES,420
81-05-03-28-000,829 MOXAHALA AVE,"$11,000.00",1,1901,2,1,0,709,YES,354
81-05-03-31-000,811 MOXAHALA AVE,"$2,700.00",,,,,,,,
81-06-01-04-000,20 PIERCE ST,"$23,200.00",1,1901,3,1,0,1150,YES,575
81-06-01-07-000,906 MOXAHALA AVE,"$8,800.00",,,,,,,,
81-06-01-11-000,924 MOXAHALA AVE,"$7,100.00",,,,,,,,
81-06-01-12-000,930 MOXAHALA AVE,"$3,500.00",,,,,,,,
81-06-01-14-000,940 -956 MOXAHALA AVE,"$2,167,500.00",,,,,,,,
