parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-06-01-24-000,949 MUSKINGUM AVE,"$9,000.00",,,,,,,,
81-06-01-27-000,MUSKINGUM,$800.00,,,,,,,,
81-06-01-28-000,931 MUSKINGUM AVE,"$3,800.00",,,,,,,,
81-06-01-29-000,927 MUSKINGUM AVE,"$2,000.00",,,,,,,,
81-06-01-31-001,MUSKINGUM AVE,"$1,700.00",,,,,,,,
81-06-02-16-000,946 PUTNAM AVE,"$50,900.00",2,1901,4,2,0,2072,YES,420
81-06-02-20-000,962 PUTNAM AVE,"$2,300.00",,,,,,,,
81-06-02-27-000,943 MOXAHALA AVE,"$3,200.00",,,,,,,,
81-06-02-28-000,935 MOXAHALA AVE,"$13,500.00",1,1901,3,1,0,1016,YES,316
81-06-02-29-000,MOXAHALA AVE,$500.00,,,,,,,,
