parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
17-27-01-41-001,MAPLE AVE,"$56,200.00",,,,,,,,
17-27-02-02-000,MAPLE AVE,"$535,600.00",,,,,,,,
17-27-02-04-000,3625 FRAZEYSBURG RD,"$1,361,000.00",,,,,,,,
17-27-02-08-000,3657 FRAZEYSBURG RD,"$577,000.00",,,,,,,,
17-75-05-17-000,OAK MEADOW LN,"$139,000.00",,,,,,,,
17-75-05-18-000,2401 OAK MEADOW LN,"$435,600.00",1,1997,2,3,2,2663,YES,1997
17-75-05-19-000,2413 OAK MEADOW LN,"$664,900.00",2,2000,4,4,1,3912,YES,2910
17-75-05-19-001,OAK MEADOW LN,$100.00,,,,,,,,
17-75-05-21-000,OAK MEADOW LN,"$74,300.00",,,,,,,,
17-75-05-22-000,2414 OAK MEADOW LN,"$518,000.00",2,2000,5,4,1,3915,YES,2304
