parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-48-01-03-000,1204 DANVILLE ST,"$27,500.00",1,1924,4,1,0,796,YES,672
81-48-01-05-000,DANVILLE ST,$800.00,,,,,,,,
81-51-02-12-000,219 STILLWELL ST,"$1,400.00",,,,,,,,
81-51-02-14-000,224 WAYNE AVE,$600.00,,,,,,,,
81-51-02-21-000,921 HUGHES ST,"$1,100.00",,,,,,,,
81-51-02-22-000,227 STILLWELL ST,$700.00,,,,,,,,
81-51-02-23-000,229 STILLWELL ST,"$15,200.00",2,1875,3,1,0,1288,YES,272
81-51-02-25-000,235 STILLWELL ST,"$11,300.00",1,1901,2,1,0,680,NO,0
81-51-02-26-000,WAYNE & MARIETTA,"$1,100.00",,,,,,,,
81-51-03-07-000,317 WAYNE AVE,"$20,400.00",2,1928,4,1,1,1645,YES,917
