parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-57-03-45-000,HARVEY ST,$500.00,,,,,,,,
81-57-03-48-000,936 HARVEY ST,$500.00,,,,,,,,
81-57-03-51-000,926 HARVEY ST,$500.00,,,,,,,,
81-57-03-57-000,929 MARIETTA ST,"$9,800.00",2,1870,4,2,0,2110,YES,515
81-55-01-14-001,235 HARRIS RD,"$33,200.00",1,1901,2,0,0,880,YES,560
81-55-01-22-000,112 HUEY ST,"$80,800.00",2,1901,3,1,0,1856,YES,384
81-55-01-33-000,1457 SHARON REAR AVE,"$26,300.00",1,1925,2,1,0,720,YES,360
81-55-01-36-000,261 HARRIS RD,"$44,100.00",1,1901,3,1,0,1024,YES,736
81-55-01-38-000,1447 SHARON AVE,"$59,200.00",,,,,,,,
81-56-01-02-000,58 GLESSNER AVE,"$40,700.00",1,1958,2,1,0,960,NO,0
