parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
17-19-03-68-000,1373 COLBURN DR,"$233,500.00",2,2003,4,2,1,2912,YES,1576
17-20-01-63-000,RIGGLE DR,"$1,000.00",,,,,,,,
17-27-01-40-001,MAPLE AVE,"$11,600.00",,,,,,,,
17-27-01-41-000,3674 MAPLE AVE,"$422,700.00",,,,,,,,
17-27-01-47-000,3660 MAPLE AVE,"$1,113,810.00",,,,,,,,
17-27-02-20-002,FRAZEYSBURG RD,$0.00,,,,,,,,
17-34-02-30-001,W MILITARY RD,"$460,800.00",,,,,,,,
17-75-05-03-000,2355 OLD FARM CT,"$237,500.00",1,1997,3,3,1,2088,YES,2088
17-75-05-04-001,OLD FARM CT,"$13,800.00",,,,,,,,
17-75-05-07-000,2331 OLD FARM CT,"$282,100.00",1,1998,3,3,1,2212,YES,2196
