parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-60-01-19-000,EAST ST,"$1,000.00",,,,,,,,
81-60-01-20-000,54 CERAMIC AVE,$100.00,,,,,,,,
81-60-02-01-000,308 HARRIS RD,"$165,800.00",,,,,,,,
81-60-02-08-000,17 CERAMIC AVE,"$36,300.00",1.5,1920,2,1,0,1424,YES,796
81-60-02-13-000,1368 WHEELING AVE,"$41,700.00",1,1935,2,1,0,1136,YES,1136
81-60-02-17-000,WHEELING AVE,$400.00,,,,,,,,
81-60-02-21-000,1326 WHEELING AVE,"$83,450.00",2,1900,3,1,1,1748,YES,886
81-60-02-24-000,30 SOUTHARD AVE,"$76,100.00",2,1920,3,1,0,1696,YES,1073
81-60-02-27-000,1333 PALLAS AVE,"$67,300.00",2,1940,4,1,0,1616,YES,1017
81-60-02-32-000,46 SOUTHARD AVE,"$123,540.00",1,1939,2,1,0,936,YES,936
