parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
44-52-01-36-550,5387 WELLINGTON,"$165,400.00",1,2011,2,2,0,1532,NO,0
44-52-01-41-550,5338 W SHEFFIELD CIR,"$181,800.00",1,2013,3,2,0,1810,NO,0
44-52-01-46-550,5335 W SHEFFIELD CIR,"$186,900.00",1,2013,2,2,0,1825,NO,0
44-52-01-48-550,5386 WELLINGTON PLACE,"$175,900.00",1,2014,2,2,0,1692,NO,0
44-52-01-50-550,5384 WELLINGTON PLACE,"$175,900.00",1,2014,2,2,0,1692,NO,0
44-52-01-60-550,5317 W SHEFFIELD CIR,"$162,100.00",1,2013,2,2,0,1825,NO,0
44-52-01-62-550,5315 W SHEFFIELD CIR,"$162,100.00",1,2013,2,2,0,1825,NO,0
81-01-02-03-000,334 PUTNAM AVE,"$41,200.00",,,,,,,,
81-01-02-06-000,375 MUSKINGUM AVE,"$97,000.00",,,,,,,,
81-01-02-09-000,MUSKINGUM AVE,$700.00,,,,,,,,
