parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-14-01-02-000,1034 MAYSVILLE AVE,"$5,000.00",,,,,,,,
81-14-02-01-000,1031 MAYSVILLE AVE,"$3,500.00",,,,,,,,
81-14-02-05-000,220 WELLER AVE,"$23,100.00",2,1901,4,2,0,1286,YES,616
81-14-02-07-000,228 WELLER AVE,"$9,600.00",2,1901,2,1,0,960,YES,540
81-14-02-10-000,1049 MAYSVILLE AVE,"$87,000.00",,,,,,,,
81-14-02-12-000,MAYSVILLE AVE,"$4,200.00",,,,,,,,
81-14-02-13-000,1071 MAYSVILLE AVE,"$5,100.00",,,,,,,,
81-15-01-07-000,233 PIERCE ST,"$14,300.00",2,1901,3,1,0,1194,YES,256
81-15-01-11-000,846 WOODLAWN AVE,"$1,600.00",,,,,,,,
81-15-02-02-000,901 PUTNAM AVE,"$2,700.00",,,,,,,,
