parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-16-01-13-000,225 HARRISON ST,"$2,500.00",,,,,,,,
81-16-01-14-000,233 HARRISON ST,"$3,100.00",,,,,,,,
81-16-02-04-000,224 HARRISON ST,"$4,700.00",,,,,,,,
81-16-02-07-000,804 WOODLAWN AVE,"$13,300.00",1,1901,2,1,0,764,YES,382
81-16-02-15-000,838 WOODLAWN AVE,"$2,500.00",,,,,,,,
81-17-02-02-000,565 WOODLAWN AVE,"$16,400.00",2,1901,3,1,0,1661,YES,973
81-17-02-05-000,605 WOODLAWN AVE,"$65,200.00",2,1901,6,3,0,2732,YES,1270
81-17-03-01-000,601 PUTNAM AVE,"$63,900.00",,,,,,,,
81-17-03-02-000,602 WOODLAWN AVE,"$15,800.00",2,1901,6,3,0,2580,YES,645
81-17-03-03-000,608 WOODLAWN AVE,"$28,100.00",2,1901,6,3,0,1924,YES,1184
