parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-19-02-18-000,301 PUTNAM AVE,"$54,400.00",,,,,,,,
81-19-03-02-000,330 WASHINGTON ST,"$18,000.00",2,1901,2,1,0,1446,YES,288
81-19-03-09-000,325 WOODLAWN AVE,"$19,500.00",2,1901,4,2,0,2432,NO,0
81-19-03-15-000,357 WOODLAWN AVE,"$41,700.00",2,1901,4,1,0,1820,YES,896
81-19-04-02-000,322 ADAMS ST,"$1,600.00",,,,,,,,
81-19-04-05-000,332 ADAMS ST,"$1,500.00",,,,,,,,
81-19-04-06-000,334 ADAMS ST,"$2,000.00",,,,,,,,
81-20-01-03-000,126 MUSKINGUM AVE,"$156,500.00",,,,,,,,
81-20-01-06-000,MUSKINGUM AVE,"$3,700.00",,,,,,,,
81-20-01-08-000,276 MUSKINGUM AVE,"$4,100.00",,,,,,,,
