parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-58-01-03-000,1066 WHEELING AVE,"$1,500.00",,,,,,,,
81-58-01-07-000,1046 WHEELING AVE,"$32,500.00",1,1924,2,1,0,864,YES,864
81-58-02-01-000,MAIN ST E,"$2,600.00",,,,,,,,
81-58-02-03-000,1008 WHEELING AVE,"$5,700.00",,,,,,,,
81-58-02-14-000,SILLIMAN ST,"$1,700.00",,,,,,,,
81-58-02-15-000,982 GREENWOOD AVE,"$90,300.00",1,2008,3,2,0,1384,YES,1384
81-60-03-03-000,1304 WHEELING AVE,"$45,100.00",2,1930,2,1,0,1298,YES,242
81-60-03-04-000,1294 WHEELING AVE,"$2,000.00",,,,,,,,
81-60-03-07-000,1282 WHEELING AVE,"$69,200.00",2,1924,3,1,0,1456,YES,904
81-60-03-11-000,24 GREEN ST,"$1,000.00",,,,,,,,
