parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-06-01-32-000,909 MUSKINGUM AVE,"$3,700.00",,,,,,,,
81-06-02-02-000,110 PIERCE ST,"$29,400.00",1.5,1901,4,1,0,1680,YES,840
81-06-02-03-000,114 PIERCE ST,"$18,700.00",2,1901,3,1,0,1440,YES,720
81-06-02-06-000,904 PUTNAM AVE,"$115,900.00",,,,,,,,
81-06-02-13-000,934 PUTNAM AVE,"$15,700.00",,,,,,,,
81-06-02-17-000,PUTNAM AVE,"$1,700.00",,,,,,,,
81-06-02-23-000,959 MOXAHALA AVE,"$24,600.00",2,1901,3,1,0,1845,YES,885
81-06-02-34-000,911 MOXAHALA AVE,"$26,100.00",2,1901,3,1,0,1378,YES,240
81-07-01-05-000,1020 MOXAHALA AVE,"$18,000.00",1,1901,2,1,0,800,YES,400
81-07-01-10-000,1038 MOXAHALA AVE,"$36,700.00",1,1901,3,2,0,1125,YES,522
