parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-57-03-75-000,1009 MARIETTA ST,"$1,300.00",,,,,,,,
81-57-03-76-000,1013 MARIETTA ST,"$1,300.00",,,,,,,,
81-57-03-79-000,1023 MARIETTA ST,"$3,800.00",1,1901,2,1,0,752,YES,210
81-57-03-81-000,MARIETTA ST,$800.00,,,,,,,,
81-57-03-73-000,1001 MARIETTA ST,$700.00,,,,,,,,
81-57-03-74-000,1007 MARIETTA ST,$900.00,,,,,,,,
81-57-03-82-000,1033 MARIETTA ST,$900.00,,,,,,,,
81-57-03-84-000,1045 MARIETTA ST,$300.00,,,,,,,,
81-57-03-91-000,1067 MARIETTA ST,"$1,500.00",,,,,,,,
81-57-03-92-000,MARIETTA ST,"$1,110.00",,,,,,,,
