parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-03-02-18-000,113 VAN BUREN ST,"$40,100.00",2,1901,6,2,0,2159,YES,481
81-03-02-21-000,647 MOXAHALA AVE,"$31,000.00",2,1901,5,2,1,2948,YES,1469
81-03-02-22-000,643 MOXAHALA AVE,"$8,900.00",2,1901,3,0,0,1358,YES,679
81-03-02-26-000,623 MOXAHALA AVE,"$32,600.00",2,1901,5,2,0,2429,YES,1052
81-03-02-27-000,615 MOXAHALA AVE,"$15,200.00",1,1901,2,1,0,768,YES,384
81-03-02-29-000,110 MADISON ST,"$17,500.00",2,1901,3,1,0,1408,YES,352
81-04-01-04-000,24 VAN BUREN ST,"$16,100.00",2,1901,3,2,0,1712,YES,428
81-04-02-03-000,116 VAN BUREN,"$14,600.00",2,1901,6,2,1,2351,YES,760
81-04-02-05-000,126 VAN BUREN ST,"$18,600.00",1,1901,2,1,0,812,YES,376
81-04-02-07-000,706 PUTNAM AVE,"$8,200.00",,,,,,,,
