parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
44-52-01-64-550,5346 E SHEFFIELD CIR,,,,,,,,,
44-52-01-67-550,5342 E SHEFFIELD CIR,"$27,500.00",,,,,,,,
81-01-01-01-000,MUSKINGUM AVE,"$12,900.00",,,,,,,,
81-01-01-02-000,MUSKINGUM AVE,"$45,400.00",,,,,,,,
81-01-02-05-000,ADAMS ST,"$6,700.00",,,,,,,,
81-01-02-08-000,MUSKINGUM AVE,"$3,400.00",,,,,,,,
81-01-03-01-000,425 MOXAHALA AVE,"$81,200.00",2,1901,4,2,0,3636,YES,1787
81-01-03-02-000,405 MOXAHALA AVE,"$137,600.00",2,1901,5,2,1,4638,YES,1559
81-01-03-07-000,430 PUTNAM AVE,"$38,200.00",,,,,,,,
81-01-04-03-000,412 MOXAHALA AVE,"$55,200.00",2,1901,4,2,1,2642,YES,1353
