parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-46-03-12-000,1477 WHEELER RD,"$21,200.00",1,1890,2,1,0,628,NO,0
81-46-03-14-000,1485 WHEELER RD,"$28,400.00",1,1910,2,1,0,950,NO,0
81-46-03-15-000,WHEELER RD,$500.00,,,,,,,,
81-46-03-16-000,1495 WHEELER RD,"$65,000.00",1,1996,3,2,0,1296,NO,0
81-46-03-17-000,415 FREEBORN AVE,"$19,200.00",1,1901,2,1,0,832,YES,416
81-46-03-20-000,1420 BOWMAN ST,"$12,600.00",1,1895,1,1,0,528,NO,0
81-46-03-24-000,361 FREEBORN AVE,"$28,800.00",1,1901,2,1,0,672,NO,0
81-47-01-01-000,1467 WHEELER RD,"$53,900.00",1,1901,3,2,0,1172,YES,248
81-51-02-20-000,917 HUGHES ST,"$1,100.00",,,,,,,,
81-51-02-24-000,231 STILLWELL ST,"$21,200.00",2,1885,3,1,0,1218,NO,0
