parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-05-03-19-000,119 PIERCE ST,$800.00,,,,,,,,
81-05-03-22-000,103 PIERCE ST,"$15,600.00",1,1901,3,1,0,1354,YES,677
81-05-03-23-000,853 MOXAHALA AVE,"$19,200.00",1,1901,3,1,0,936,YES,468
81-03-01-01-000,602 MOXAHALA AVE,"$2,000.00",,,,,,,,
81-03-01-02-000,608 MOXAHALA AVE,"$17,500.00",2,1901,4,1,0,1990,YES,443
81-03-01-03-000,614 MOXAHALA AVE,"$10,800.00",2,1901,3,1,0,1476,YES,330
81-03-01-05-000,630 MOXAHALA AVE,"$48,050.00",2,1901,3,1,0,1260,YES,245
81-03-01-09-000,648 MOXAHALA AVE,"$16,800.00",2,1901,3,1,0,1240,YES,310
81-03-01-15-000,VAN BUREN ST,"$2,600.00",,,,,,,,
81-03-01-18-000,MUSKINGUM AVE,"$2,700.00",,,,,,,,
