parcelNumber,fullAddress,longitude,latitude,distanceFromWarehouseMiles,appraisedValue,yearBuilt,numStories,livingArea,numBedrooms,numFullBaths,numHalfBaths,basement,basementArea
81-43-01-04-000,"1411 SUNRISE AVE, Zanesville OH",-81.989188,39.93082500000001,2.0177852376383236,34900,1948,1,800,2,1,0,YES,800
81-43-01-09-000,"510 HAESSLER AVE, Zanesville OH",-81.990759,39.930997,1.9381334410301616,55300,1992,1,1344,2,2,0,YES,1344
81-43-02-03-000,"529 HAESSLER AVE, Zanesville OH",-81.991748,39.930801,1.884047251979824,29200,1937,1,728,2,1,0,YES,728
81-43-02-05-000,"555 HAESSLER AVE, Zanesville OH",-81.99180299999999,39.929978,1.8710985196244958,14200,1901,1,756,2,1,0,YES,105
81-43-03-02-000,"1415 SUNRISE AVE, Zanesville OH",-81.988744,39.92988,2.0303681861511653,27400,1900,1,924,2,1,0,NO,0
81-43-03-04-000,"1390 SUNRISE AVE, Zanesville OH",-81.98943100000001,39.92991,1.9946376868738076,15600,1940,1,704,2,1,0,NO,0
81-19-02-09-000,"233 ADAMS ST, Zanesville OH",-82.008314,39.9333017,1.1076791819153617,69900,1901,2,3146,6,2,0,YES,786
81-19-02-13-000,"329 PUTNAM AVE, Zanesville OH",-82.0076417,39.9335943,1.148677665527281,162100,1901,3,9690,15,9,0,YES,3230
81-19-03-07-000,"313 WOODLAWN AVE, Zanesville OH",-82.0089007,39.9342855,1.1157271624291902,78800,1920,2,2538,3,2,0,YES,1088
81-19-03-08-000,"319 WOODLAWN AVE, Zanesville OH",-82.008957,39.9341845,1.109451116492936,27600,1901,2,2460,6,2,0,YES,1230
81-19-03-10-000,"331 WOODLAWN AVE, Zanesville OH",-82.0089734,39.9339514,1.1001460821727576,44630,1820,2,4128,8,6,0,YES,1008
81-19-04-01-000,"405 WOODLAWN AVE, Zanesville OH",-82.0090414,39.932878,1.0597714821162143,44900,1901,2,3562,6,3,0,YES,1781
81-19-04-03-000,"328 ADAMS ST, Zanesville OH",-82.00957489999999,39.9328891,1.0353533388041796,23100,1901,2,1456,3,1,0,YES,364
81-20-01-03-001,"158 MUSKINGUM AVE, Zanesville OH",-82.009033,39.9359982,1.178312054438013,165500,2003,1,1938,2,2,0,NO,0
81-22-01-03-000,"1250 WAYNE AVE, Zanesville OH",-82.0004,39.917152,1.5075536980531306,83500,1951,1,1204,3,1,0,YES,1204
81-22-01-04-000,"1292 WAYNE AVE, Zanesville OH",-82.00099800000001,39.916739,1.4898476809683618,41e3,1910,1,640,2,1,0,YES,320
81-25-01-02-000,"1101 LONGSHORE LN, Zanesville OH",-81.984797,39.916101,2.312902596397645,113980,1900,1,1192,3,1,0,YES,1144
81-28-01-08-000,"980 WAYNE AVE, Zanesville OH",-82.0009199,39.923858,1.3678466250836607,45700,1940,1,816,2,1,0,YES,816
81-28-02-02-001,"1088 WAYNE AVE, Zanesville OH",-82.0013249,39.9217021,1.3677410518537019,204800,1865,1,4220,4,2,1,NO,0
81-30-01-01-000,"1071 ARCADIA LN, Zanesville OH",-81.991315,39.922154,1.887113599929631,54800,1941,1,1429,2,1,0,YES,1183
81-20-02-06-000,"223 HAZLETT CT, Zanesville OH",-82.0101279,39.9355661,1.1141510494895501,22300,1901,2,1230,2,1,0,YES,256
81-20-02-07-000,"225 HAZLETT CT, Zanesville OH",-82.01010389999999,39.935494,1.1120678600816098,14100,1901,2,1248,3,1,0,YES,256
81-20-02-10-000,"235 HAZLETT CT, Zanesville OH",-82.01000619999999,39.93525,1.1058625964703366,13400,1901,2,1076,2,1,0,YES,448
81-20-02-12-000,"337 WASHINGTON ST, Zanesville OH",-82.0100631,39.934874,1.0878925065559595,31900,1901,2,2536,4,2,1,YES,512
81-20-02-13-000,"333 WASHINGTON ST, Zanesville OH",-82.0099402,39.9348679,1.0929098026213275,35800,1901,2,1432,2,1,0,YES,140
81-20-02-16-000,"321 WASHINGTON ST, Zanesville OH",-82.00949059999999,39.9348778,1.11268502846427,38400,1901,2,3360,4,1,1,YES,1680
81-20-02-24-000,"203 MUSKINGUM AVE, Zanesville OH",-82.00957989999999,39.935814,1.147595942830253,33400,1901,1,1500,2,1,0,YES,750
81-44-03-08-000,"1527 EASTVIEW AVE, Zanesville OH",-81.986952,39.930042,2.126038248894622,42300,1900,1,992,2,1,0,YES,448
81-44-03-11-000,"1511 EASTVIEW AVE, Zanesville OH",-81.98742,39.9299304,2.100361489298227,28e3,1930,1,840,2,1,0,YES,840
81-44-04-01-000,"1562 EASTVIEW AVE, Zanesville OH",-81.986278,39.929514,2.1565119289742336,15e3,1880,2,1328,2,1,0,YES,464
81-44-04-04-000,"1548 EASTVIEW AVE, Zanesville OH",-81.986420999999993,39.9295199,2.1490391445294055,43500,1910,1,996,3,1,0,YES,900
81-45-01-03-000,"1614 SHARON AVE, Zanesville OH",-81.98544940000001,39.9349521,2.277369648211639,47600,1901,1,872,2,1,0,YES,872
81-45-01-06-000,"356 WHITE OAK AVE, Zanesville OH",-81.98537,39.933784,2.259791733341506,42100,1901,1,936,3,1,0,YES,468
81-45-01-23-000,"480 WHITE OAK AVE, Zanesville OH",-81.9855773,39.9313265,2.212417521107833,46700,1926,1,672,2,1,0,YES,672
81-45-01-24-000,"482 WHITE OAK AVE, Zanesville OH",-81.985546,39.93121,2.212619820196556,19900,1940,1,484,1,1,0,YES,484
81-46-01-05-000,"1510 SHARON AVE, Zanesville OH",-81.98665319999999,39.93488079999999,2.2147978357363542,67800,1928,2,1540,4,1,2,YES,868
81-46-01-06-000,"1504 SHARON AVE, Zanesville OH",-81.986828,39.93480900000001,2.2044851977940803,72700,1931,1,1854,3,2,0,YES,1126
81-46-01-07-000,"320 JORDAN AVE, Zanesville OH",-81.986701,39.934532,2.2054812294680928,46900,1930,1,896,2,1,0,YES,896
81-46-01-08-000,"324 JORDAN AVE, Zanesville OH",-81.98671,39.934423,2.2029190486184236,65600,1928,2,1144,2,1,0,YES,668
81-46-01-10-000,"336 JORDAN AVE, Zanesville OH",-81.986727,39.9342029,2.1978752789240033,42200,1940,1,832,2,1,0,YES,832
81-46-01-13-000,"348 JORDAN AVE, Zanesville OH",-81.98675399999999,39.933875,2.1904508901233597,59900,1928,1,780,2,2,0,YES,780
81-44-01-02-000,"529 DOWNARD RD, Zanesville OH",-81.9853454,39.9309552,2.2200788146788435,38300,1900,1,944,2,1,0,YES,324
81-44-01-08-000,"575 DOWNARD RD, Zanesville OH",-81.98504,39.930406,2.2300565963865813,30900,1890,2,1290,2,1,0,YES,540
81-44-03-01-000,"1556 BENNETT AVE, Zanesville OH",-81.9861308,39.929937,2.168125307463072,90800,2001,1,1144,3,1,0,YES,1144
81-44-04-07-000,"1530 EASTVIEW AVE, Zanesville OH",-81.986955,39.929542,2.121142152928016,63900,1948,2,2441,4,2,0,NO,0
81-44-04-14-000,"1498 EASTVIEW AVE, Zanesville OH",-81.987892,39.929614,2.072530399077444,52800,1960,1,960,3,1,0,YES,480
81-44-05-09-000,"1612 BENNETT AVE, Zanesville OH",-81.9855,39.929990599999996,2.2017752481875066,28900,1901,1,1538,3,1,0,YES,843
81-20-03-01-000,"210 WOODLAWN AVE, Zanesville OH",-82.0085505,39.9351181,1.1630813760618495,50400,1901,2,2224,4,2,0,YES,536
17-19-01-41-550,"3709 COLONY HILL DR, Zanesville OH",-82.031874,39.995522,4.8460572944026215,96600,2004,1,864,2,1,0,NO,0
17-19-01-44-550,"3691 COLONY HILL DR, Zanesville OH",-82.03140499999999,39.995424,4.837918953517683,101400,2004,1,912,2,2,0,NO,0
17-19-01-47-550,"3695 COLONY HILL DR, Zanesville OH",-82.0314549,39.995213,4.823484418467383,88500,2004,1,864,2,1,0,NO,0
17-19-01-57-550,"3552 COLONY HILL DR, Zanesville OH",-82.030131,39.996258,4.892484407876114,121600,2004,1,1152,3,2,0,NO,0
17-19-01-60-550,"3670 COLONY HILL DR, Zanesville OH",-82.030591,39.996173,4.887602158277992,96e3,2004,1,912,2,2,0,NO,0
17-19-01-66-550,"3678 COLONY HILL DR, Zanesville OH",-82.03100599999999,39.996162,4.887842201257548,101400,2004,1,912,2,2,0,NO,0
