parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea,fullAddress,latitude,longitude,distanceFromWarehouseMeters
17-07-01-10-002,1250 FAIRVIEW RD,"$66,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"1250 FAIRVIEW RD, Zanesville OH",40.0078479,-82.0146871,9214.433764557398
17-19-01-04-000,3870 FRAZEYSBURG RD,"$113,230.00",2,1901,3,1,1,1984,YES,992,"3870 FRAZEYSBURG RD, Zanesville OH",39.998384,-82.03264999999999,8120.994771640348
17-19-01-04-003,3721 COLONY HILL DR,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,"3721 COLONY HILL DR, Zanesville OH",39.9955883,-82.032141,7807.6858607448985
17-19-01-06-550,3739 LEASURE CT S,"$127,800.00",2,1998,3,2,1,1500,NO,0,"3739 LEASURE CT S, Zanesville OH",NA,NA,NA
17-19-01-07-550,3733 LEASURE CT S,"$116,200.00",1,1998,2,2,0,1100,NO,0,"3733 LEASURE CT S, Zanesville OH",39.994771,-82.032904,7721.129404737471
17-19-01-10-550,3725 LEASURE CT,"$127,800.00",2,1998,3,2,1,1500,NO,0,"3725 LEASURE CT, Zanesville OH",39.994603,-82.032691,7701.2269791462795
17-19-01-12-550,3717 LEASURE CT S,"$131,500.00",1,1998,3,2,0,1450,NO,0,"3717 LEASURE CT S, Zanesville OH",39.994732,-82.03246,7714.253710099343
17-19-01-16-553,3709 LEASURE CT S,"$135,300.00",1,1999,3,2,0,1450,NO,0,"3709 LEASURE CT S, Zanesville OH",39.994447,-82.032315,7681.8003250284755
17-19-01-19-560,3745 LEASURE CT,"$116,200.00",1,1999,2,2,0,1100,NO,0,"3745 LEASURE CT, Zanesville OH",39.994947,-82.033259,7742.835370289328
17-19-01-22-555,3734 LEASURE CT S,"$127,800.00",2,2000,3,2,1,1500,NO,0,"3734 LEASURE CT S, Zanesville OH",39.995394,-82.032473,7787.865179462091
17-19-01-26-563,3782 S LEASURE CT,"$127,800.00",2,2000,3,2,1,1500,NO,0,"3782 S LEASURE CT, Zanesville OH",39.99542599999999,-82.03393899999999,7800.453000516038
17-19-01-30-567,3766 COLONY HILL DR,"$141,200.00",2,2000,3,2,1,1500,NO,0,"3766 COLONY HILL DR, Zanesville OH",39.995695,-82.033709,7828.758518466285
17-19-01-31-568,3774 LEASURE CT S,"$116,200.00",1,2000,2,2,0,1100,NO,0,"3774 LEASURE CT S, Zanesville OH",39.995607,-82.033761,7819.336917109798
17-19-01-33-570,3718 LEASURE CT S,"$141,200.00",2,2000,3,2,1,1500,NO,0,"3718 LEASURE CT S, Zanesville OH",39.9952029,-82.03212599999999,7764.784633421444
17-19-01-37-000,3620 OLDE FALLS RD,"$481,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"3620 OLDE FALLS RD, Zanesville OH",39.996587,-82.0384246,7968.616524405446
17-19-01-42-550,3707 COLONY HILL DR,"$88,500.00",1,2004,2,1,0,864,NO,0,"3707 COLONY HILL DR, Zanesville OH",NA,NA,NA
17-19-01-50-550,3687 COLONY HILL DR,"$109,700.00",1,2004,2,2,0,912,NO,0,"3687 COLONY HILL DR, Zanesville OH",39.995462,-82.031058,7788.6006127962855
17-19-01-51-550,3683 COLONY HILL DR,"$96,600.00",1,2004,2,1,0,864,NO,0,"3683 COLONY HILL DR, Zanesville OH",39.995548,-82.03108399999999,7798.2710403956135
17-19-01-55-550,3546 COLONY HILL DR,"$105,200.00",1,2004,2,2,0,912,NO,0,"3546 COLONY HILL DR, Zanesville OH",39.9960809,-82.030121,7853.957558333232
17-19-01-59-550,3666 COLONY HILL DR,"$96,600.00",1,2004,2,1,0,864,NO,0,"3666 COLONY HILL DR, Zanesville OH",39.99626,-82.030579,7875.4648446352
17-19-03-05-000,3941 TARYN TRACE,"$851,260.00",NA,NA,NA,NA,NA,NA,NA,NA,"3941 TARYN TRACE, Zanesville OH",39.9934729,-82.03218269999999,7572.867994471906
17-19-03-05-005,NORTHPOINTE DR,"$223,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"NORTHPOINTE DR, Zanesville OH",40.0017655,-82.02636509999999,8481.06770668692
17-19-03-05-009,FRAZEYSBURG RD,"$857,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"FRAZEYSBURG RD, Zanesville OH",40.0102756,-82.03787729999999,9477.276873124963
17-19-03-05-706,3825 GORSKY DR,"$628,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"3825 GORSKY DR, Zanesville OH",NA,NA,NA
17-19-03-41-000,1450 COLBURN DR,"$231,400.00",2,2003,4,2,1,2520,YES,1260,"1450 COLBURN DR, Zanesville OH",39.991196,-82.044265,7458.212756566919
17-19-03-42-000,1444 COLBURN DR,"$229,500.00",2,2000,4,2,1,2800,YES,1320,"1444 COLBURN DR, Zanesville OH",39.990837,-82.044607,7425.059320999757
17-19-03-45-000,1410 COLBURN DR,"$246,200.00",1,2004,4,3,0,1872,YES,1872,"1410 COLBURN DR, Zanesville OH",39.9899879,-82.04286499999999,7302.923315542838
17-19-03-48-000,1383 COLBURN DR,$0.00,1,2016,3,2,1,2456,YES,2456,"1383 COLBURN DR, Zanesville OH",39.990779,-82.04177899999999,7372.56840617264
17-19-03-49-000,1412 BART LN,"$259,300.00",1,2006,3,3,1,2680,YES,2680,"1412 BART LN, Zanesville OH",NA,NA,NA
17-19-03-63-000,1366 COLBURN DR,"$241,800.00",1,2015,4,2,1,2081,YES,2081,"1366 COLBURN DR, Zanesville OH",39.9904064,-82.04055260000001,7313.988047575919
81-14-01-02-000,1034 MAYSVILLE AVE,"$5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1034 MAYSVILLE AVE, Zanesville OH",39.923246,-82.007093,1686.1167564530217
81-14-02-01-000,1031 MAYSVILLE AVE,"$3,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"1031 MAYSVILLE AVE, Zanesville OH",39.9233649,-82.00752299999999,1647.8223548157819
81-14-02-05-000,220 WELLER AVE,"$23,100.00",2,1901,4,2,0,1286,YES,616,"220 WELLER AVE, Zanesville OH",39.923297,-82.00794499999999,1613.3841483944045
81-14-02-07-000,228 WELLER AVE,"$9,600.00",2,1901,2,1,0,960,YES,540,"228 WELLER AVE, Zanesville OH",39.92329,-82.008144,1596.7339177377091
81-14-02-10-000,1049 MAYSVILLE AVE,"$87,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1049 MAYSVILLE AVE, Zanesville OH",NA,NA,NA
81-14-02-12-000,MAYSVILLE AVE,"$4,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"MAYSVILLE AVE, Zanesville OH",39.9156363,-82.0133737,1581.6636263219686
81-14-02-13-000,1071 MAYSVILLE AVE,"$5,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"1071 MAYSVILLE AVE, Zanesville OH",39.922552,-82.00820399999999,1606.8853749440493
81-15-01-07-000,233 PIERCE ST,"$14,300.00",2,1901,3,1,0,1194,YES,256,"233 PIERCE ST, Zanesville OH",39.9250022,-82.00798549999999,1591.0785946980986
81-15-01-11-000,846 WOODLAWN AVE,"$1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,"846 WOODLAWN AVE, Zanesville OH",39.92523500000001,-82.007913,1596.4283465645308
81-15-02-02-000,901 PUTNAM AVE,"$2,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"901 PUTNAM AVE, Zanesville OH",39.9247226,-82.0071353,1665.097885624929
81-15-02-05-000,909 PUTNAM AVE,"$10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"909 PUTNAM AVE, Zanesville OH",39.92451399999999,-82.00723699999999,1657.9312421808236
81-16-01-07-000,753 PUTNAM AVE,"$4,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"753 PUTNAM AVE, Zanesville OH",39.926803,-82.0071419,1667.3544801335904
81-16-01-16-000,239 HARRISON ST,"$33,300.00",1,1901,3,1,0,900,YES,900,"239 HARRISON ST, Zanesville OH",39.926645,-82.008195,1576.3517320219232
81-16-01-18-000,WOODLAWN AVE,$300.00,NA,NA,NA,NA,NA,NA,NA,NA,"WOODLAWN AVE, Zanesville OH",39.9249344,-82.00826599999999,1567.4805692774833
81-16-01-20-000,744 WOODLAWN AVE,"$1,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"744 WOODLAWN AVE, Zanesville OH",39.927024,-82.007986,1597.8337851363763
81-16-01-22-000,732 WOODLAWN AVE,"$2,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"732 WOODLAWN AVE, Zanesville OH",39.927338,-82.007998,1600.7099378049418
81-16-02-01-001,PUTNAM AVE,"$6,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"PUTNAM AVE, Zanesville OH",39.9248564,-82.0068538,1688.313604933527
81-16-02-09-000,812 WOODLAWN AVE,"$1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"812 WOODLAWN AVE, Zanesville OH",39.92612889999999,-82.0081211,1579.380197859132
81-16-02-10-000,814 WOODLAWN AVE,"$12,000.00",1,1901,3,1,0,652,YES,216,"814 WOODLAWN AVE, Zanesville OH",39.9260562,-82.00819919999999,1572.4246015282756
81-16-02-12-000,WOODLAWN AVE,"$1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"WOODLAWN AVE, Zanesville OH",39.9249344,-82.00826599999999,1567.4805692774833
81-16-02-14-000,830 WOODLAWN AVE,"$20,000.00",2,1901,4,2,0,2014,YES,614,"830 WOODLAWN AVE, Zanesville OH",39.9257403,-82.0081223,1578.197641514247
81-13-02-12-000,1215 LAKE DR,"$43,100.00",2,1901,2,1,0,1238,YES,471,"1215 LAKE DR, Zanesville OH",39.9196098,-82.0095695,1599.2031327621064
81-13-03-02-000,1234 LAKE DR,"$30,300.00",2,1940,3,1,0,1344,YES,672,"1234 LAKE DR, Zanesville OH",39.9192093,-82.00933909999999,1635.9438344574978
81-13-03-06-000,1245 JEWETT DR,"$52,800.00",2,1928,6,2,0,4320,YES,1440,"1245 JEWETT DR, Zanesville OH",39.9190002,-82.00895249999999,1675.7918126389156
81-13-03-07-000,1233 JEWETT DR,"$43,000.00",1.75,1901,3,1,0,1680,YES,840,"1233 JEWETT DR, Zanesville OH",39.9192079,-82.00900349999999,1661.876644169423
81-14-01-08-000,1023 PUTNAM AVE,"$2,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"1023 PUTNAM AVE, Zanesville OH",39.922646,-82.007054,1700.9622888302354
81-14-01-10-000,1070 MAYSVILLE AVE,"$21,800.00",2,1901,3,1,0,1376,YES,344,"1070 MAYSVILLE AVE, Zanesville OH",39.922572,-82.0076606,1651.8200104288396
81-14-01-15-000,1056 MAYSVILLE AVE,"$5,500.00",1,1901,1,1,0,672,YES,336,"1056 MAYSVILLE AVE, Zanesville OH",39.92285200000001,-82.0074209,1665.8998045471565
81-14-01-17-000,1044 MAYSVILLE AVE,"$6,400.00",1,1901,2,1,0,832,YES,416,"1044 MAYSVILLE AVE, Zanesville OH",39.9230323,-82.0073931,1664.6959815175658
81-14-02-02-000,208 WELLER AVE,"$4,130.00",NA,NA,NA,NA,NA,NA,NA,NA,"208 WELLER AVE, Zanesville OH",39.9233573,-82.00766139999999,1636.268777539958
81-14-02-03-000,212 WELLER AVE,"$12,600.00",2,1901,3,1,0,1262,YES,616,"212 WELLER AVE, Zanesville OH",39.923305,-82.007738,1630.6991056558495
81-14-02-06-000,224 WELLER AVE,"$12,500.00",2,1901,4,2,0,1232,YES,616,"224 WELLER AVE, Zanesville OH",39.923293,-82.008048,1604.7719141395298
81-14-02-11-000,1057 MAYSVILLE AVE,"$6,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"1057 MAYSVILLE AVE, Zanesville OH",39.9228383,-82.0081388,1605.9666664337983
81-16-02-21-000,827 PUTNAM AVE,"$4,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"827 PUTNAM AVE, Zanesville OH",39.925802,-82.007288,1649.5044511203455
81-17-01-03-000,231 MADISON ST,"$43,500.00",2,1901,3,1,1,1530,YES,765,"231 MADISON ST, Zanesville OH",39.929975,-82.00812499999999,1651.961752460379
81-17-02-06-000,609 WOODLAWN AVE,"$4,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"609 WOODLAWN AVE, Zanesville OH",39.92921880000001,-82.0086918,1582.1997265838545
81-17-03-08-000,638 WOODLAWN AVE,"$2,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"638 WOODLAWN AVE, Zanesville OH",39.928893,-82.008062,1625.6199666413725
81-17-03-19-000,PUTNAM AVE,"$1,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"PUTNAM AVE, Zanesville OH",NA,NA,NA
81-17-03-20-000,659 PUTNAM AVE,"$99,600.00",2,1998,3,1,1,1920,YES,720,"659 PUTNAM AVE, Zanesville OH",NA,NA,NA
81-17-03-21-000,PUTNAM AVE,"$5,600.00",NA,NA,NA,NA,NA,NA,NA,NA,"PUTNAM AVE, Zanesville OH",39.9248564,-82.0068538,1688.313604933527
81-17-03-22-000,PUTNAM AVE,"$5,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"PUTNAM AVE, Zanesville OH",39.9248564,-82.0068538,1688.313604933527
81-17-03-24-000,625 PUTNAM AVE,"$5,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"625 PUTNAM AVE, Zanesville OH",39.928927,-82.007415,1680.2928706482564
81-17-03-25-000,625 PUTNAM AVE,"$6,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"625 PUTNAM AVE, Zanesville OH",39.928927,-82.007415,1680.2928706482564
81-17-04-02-000,236 VAN BUREN ST,"$9,600.00",2,1901,4,2,0,1836,YES,424,"236 VAN BUREN ST, Zanesville OH",39.927915,-82.008111,1600.304279009505
81-13-01-04-000,1202 JEWETT DR,"$8,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"1202 JEWETT DR, Zanesville OH",39.91999260000001,-82.00880599999999,1642.1020532555144
81-13-01-06-000,1226 JEWETT DR,"$28,500.00",2,1902,3,2,0,1720,YES,428,"1226 JEWETT DR, Zanesville OH",39.919588,-82.00861599999999,1674.5528689422824
81-13-01-07-000,1304 JEWETT DR,"$38,500.00",2,1901,4,2,0,2038,YES,509,"1304 JEWETT DR, Zanesville OH",39.9188371,-82.0085052,1718.0756657239415
81-13-01-14-000,1141 PARKER DR,"$22,500.00",1,1901,3,1,0,968,YES,800,"1141 PARKER DR, Zanesville OH",39.9198229,-82.0082576,1692.588847192131
81-13-02-06-000,1157 LAKE DR,"$46,800.00",2,1901,4,1,0,1858,YES,439,"1157 LAKE DR, Zanesville OH",39.9205495,-82.00903319999999,1601.4487372218741
81-13-02-10-000,1205 LAKE DR,"$19,400.00",2,1901,4,2,0,1080,YES,810,"1205 LAKE DR, Zanesville OH",39.9198782,-82.0094921,1593.0771946638213
81-13-02-14-000,1229 LAKE DR,"$29,800.00",2,1901,4,1,0,1667,YES,802,"1229 LAKE DR, Zanesville OH",39.9193569,-82.0097088,1600.3777734043044
81-13-02-16-000,1243 LAKE DR,"$27,300.00",1,1901,2,1,0,936,YES,936,"1243 LAKE DR, Zanesville OH",39.91901,-82.0098326,1608.0487513825688
81-13-03-01-000,1217 JEWETT DR,"$38,500.00",2,1901,3,1,1,1888,YES,472,"1217 JEWETT DR, Zanesville OH",NA,NA,NA
81-13-03-03-000,1240 LAKE DR,"$32,700.00",1.5,1940,3,2,0,1880,YES,390,"1240 LAKE DR, Zanesville OH",39.9190511,-82.0093661,1641.5878298714717
81-14-01-09-000,1027 PUTNAM AVE,"$2,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"1027 PUTNAM AVE, Zanesville OH",39.922557,-82.007071,1701.4701736393881
81-14-01-11-000,1064 MAYSVILLE AVE,"$22,600.00",2,1901,2,2,0,1836,YES,321,"1064 MAYSVILLE AVE, Zanesville OH",39.922695,-82.00747799999999,1664.391514217198
81-14-01-14-000,1058 MAYSVILLE AVE,"$29,800.00",2,1901,2,1,0,1376,YES,258,"1058 MAYSVILLE AVE, Zanesville OH",39.92278710000001,-82.00750719999999,1659.9944607293928
81-14-01-16-000,1052 MAYSVILLE AVE,"$7,300.00",1,1901,3,1,1,748,YES,748,"1052 MAYSVILLE AVE, Zanesville OH",39.9229486,-82.00746649999999,1660.1407227274537
81-14-03-11-000,1119 LAKE DR,"$23,600.00",1,1901,2,1,0,853,YES,949,"1119 LAKE DR, Zanesville OH",39.9213471,-82.0086968,1600.0239165746787
81-15-01-01-000,PUTNAM AVE,"$5,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"PUTNAM AVE, Zanesville OH",NA,NA,NA
81-15-01-05-000,225 PIERCE ST,"$16,200.00",1,1901,2,1,0,920,YES,460,"225 PIERCE ST, Zanesville OH",NA,NA,NA
81-15-01-06-000,229 PIERCE ST,"$15,700.00",1,1901,3,1,0,1112,YES,556,"229 PIERCE ST, Zanesville OH",39.925042,-82.00783,1604.1710596077446
81-15-01-08-000,239 PIERCE ST,"$2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"239 PIERCE ST, Zanesville OH",39.9250295,-82.0080827,1582.6668456383168
81-15-02-04-000,905 PUTNAM AVE,"$8,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"905 PUTNAM AVE, Zanesville OH",39.924614,-82.0072409,1656.8389732396
81-15-02-08-000,PUTNAM AVE,"$5,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"PUTNAM AVE, Zanesville OH",39.9248564,-82.0068538,1688.313604933527
81-15-02-12-000,1007 MAYSVILLE AVE,"$12,140.00",NA,NA,NA,NA,NA,NA,NA,NA,"1007 MAYSVILLE AVE, Zanesville OH",39.923793,-82.00732099999999,1658.4846842898378
81-16-01-05-000,749 PUTNAM AVE,"$18,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"749 PUTNAM AVE, Zanesville OH",39.9269642,-82.0071226,1670.5553481346365
81-16-01-08-000,751 PUTNAM AVE,"$10,200.00",2,1901,2,2,0,1264,YES,442,"751 PUTNAM AVE, Zanesville OH",39.9268905,-82.00719060000002,1664.0362365995188
81-16-02-06-000,230 HARRISON ST,"$17,900.00",1,1901,3,1,0,694,NO,0,"230 HARRISON ST, Zanesville OH",39.92627969999999,-82.0079312,1596.309982045286
81-16-02-08-000,808 WOODLAWN AVE,"$10,100.00",1,1901,2,1,0,640,YES,320,"808 WOODLAWN AVE, Zanesville OH",39.9262191,-82.0081275,1579.2543973992413
81-16-02-18-000,841 PUTNAM AVE,"$30,100.00",2,1901,5,3,0,2062,YES,996,"841 PUTNAM AVE, Zanesville OH",39.9255133,-82.00718169999999,1658.4119294275952
81-17-01-02-000,227 MADISON ST,"$10,700.00",2,1901,3,1,0,1536,YES,384,"227 MADISON ST, Zanesville OH",39.9299544,-82.0079604,1664.7153400038026
81-17-03-03-700,608 WOODLAWN AVE,"$1,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"608 WOODLAWN AVE, Zanesville OH",39.929487,-82.00808599999999,1639.9071971260287
81-17-03-07-000,632 WOODLAWN AVE,"$2,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"632 WOODLAWN AVE, Zanesville OH",39.929006,-82.008066,1628.1874744469885
81-17-03-10-000,WOODLAWN AVE,"$1,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"WOODLAWN AVE, Zanesville OH",NA,NA,NA
81-17-03-12-000,WOODLAWN AVE,"$1,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"WOODLAWN AVE, Zanesville OH",39.9249344,-82.00826599999999,1567.4805692774833
81-17-03-13-000,656 WOODLAWN AVE,"$8,000.00",2,1901,4,1,0,1204,YES,224,"656 WOODLAWN AVE, Zanesville OH",39.928449,-82.008043,1616.715886777288
81-17-03-14-000,664 WOODLAWN AVE,"$1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,"664 WOODLAWN AVE, Zanesville OH",39.92835400000001,-82.008186,1602.6801391902297
81-17-03-18-000,217 VAN BUREN ST,"$12,300.00",2,1901,6,2,0,2496,YES,1248,"217 VAN BUREN ST, Zanesville OH",39.9283169,-82.00760389999999,1650.701037426112
81-17-03-23-000,647 PUTNAM AVE,"$78,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"647 PUTNAM AVE, Zanesville OH",39.92875,-82.007459,1672.3630252595872
81-17-04-06-000,703 PUTNAM AVE,"$34,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"703 PUTNAM AVE, Zanesville OH",39.9278608,-82.00758400000001,1643.768536260449
81-18-01-02-000,407 LASALLE ST,"$21,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"407 LASALLE ST, Zanesville OH",39.9486183,-82.0082503,3005.4950561616206
81-18-01-03-000,WOODLAWN AVE,"$13,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"WOODLAWN AVE, Zanesville OH",39.9249344,-82.00826599999999,1567.4805692774833
81-18-01-05-000,WOODLAWN AVE,"$3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"WOODLAWN AVE, Zanesville OH",39.9249344,-82.00826599999999,1567.4805692774833
81-18-01-09-000,453 PUTNAM AVE,"$34,900.00",1,1901,0,1,0,1080,NO,0,"453 PUTNAM AVE, Zanesville OH",NA,NA,NA
81-18-02-01-000,417 WOODLAWN AVE,"$31,700.00",2,1901,6,2,0,2524,YES,1334,"417 WOODLAWN AVE, Zanesville OH",39.93257690000001,-82.0089686,1695.3458152422336
81-18-02-02-000,425 WOODLAWN AVE,"$89,840.00",2,1850,4,1,1,4136,YES,1840,"425 WOODLAWN AVE, Zanesville OH",39.9323731,-82.00907529999999,1676.909416354352
81-18-02-08-000,513 WOODLAWN AVE,"$33,800.00",2,1901,3,2,0,2468,YES,992,"513 WOODLAWN AVE, Zanesville OH",39.931045,-82.008979,1623.2586746304996
81-18-02-13-000,543 WOODLAWN AVE,"$25,700.00",2,1901,4,1,0,1618,YES,644,"543 WOODLAWN AVE, Zanesville OH",39.930362,-82.008945,1599.0592543837288
81-18-03-10-000,543 PUTNAM AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"543 PUTNAM AVE, Zanesville OH",39.9303122,-82.00718189999999,1740.0138246630524
81-18-03-13-000,556 WOODLAWN AVE,"$25,200.00",2,1901,2,1,0,1152,YES,480,"556 WOODLAWN AVE, Zanesville OH",39.9301039,-82.0078881,1675.5441802346086
81-18-03-14-000,552 WOODLAWN AVE,"$2,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"552 WOODLAWN AVE, Zanesville OH",39.930192,-82.00811399999999,1660.168563935038
81-17-03-26-000,625 PUTNAM AVE,"$5,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"625 PUTNAM AVE, Zanesville OH",39.928927,-82.007415,1680.2928706482564
81-17-03-27-000,625 PUTNAM AVE,"$10,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"625 PUTNAM AVE, Zanesville OH",39.928927,-82.007415,1680.2928706482564
81-17-03-31-000,607 PUTNAM AVE,"$22,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"607 PUTNAM AVE, Zanesville OH",39.92957,-82.007442,1695.3728628967178
81-17-04-03-000,230 VAN BUREN ST,"$41,800.00",2,1901,6,2,0,2112,YES,448,"230 VAN BUREN ST, Zanesville OH",39.9279641,-82.007949,1614.840610958222
81-17-04-08-000,721 PUTNAM AVE,"$75,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"721 PUTNAM AVE, Zanesville OH",39.927544,-82.00730159999999,1662.5882179560906
81-18-01-07-000,458 WOODLAWN AVE,"$17,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"458 WOODLAWN AVE, Zanesville OH",39.931669,-82.008264,1706.381149012636
81-18-03-02-000,218 JEFFERSON ST,"$7,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"218 JEFFERSON ST, Zanesville OH",39.931273,-82.00767499999999,1736.065192305376
81-18-03-04-000,517 PUTNAM AVE,"$11,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"517 PUTNAM AVE, Zanesville OH",39.93090900000001,-82.007496,1736.0405179473437
17-27-01-40-000,3636 MAPLE AVE,"$1,212,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"3636 MAPLE AVE, Zanesville OH",39.9916677,-82.0248292,7358.525940927916
17-27-02-06-000,3657 MAPLE AVE,"$1,275,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"3657 MAPLE AVE, Zanesville OH",39.9904932,-82.02548279999999,7226.853487003627
17-27-02-19-000,3735 FRAZEYSBURG RD,"$1,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"3735 FRAZEYSBURG RD, Zanesville OH",39.991591,-82.027063,7348.524784898168
17-34-02-29-000,MILITARY RD,"$25,600.00",NA,NA,NA,NA,NA,NA,NA,NA,"MILITARY RD, Zanesville OH",39.9796842,-82.0228289,6031.590673305664
17-34-02-29-001,3139 SANDHURST DR,"$4,797,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"3139 SANDHURST DR, Zanesville OH",39.9827673,-82.04252210000001,6509.401214046468
17-54-04-03-006,NEWARK RD,"$180,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"NEWARK RD, Zanesville OH",39.9873755,-82.05517610000001,7298.303268007674
17-75-05-01-001,2361 OLD FARM CT,"$309,800.00",1,2002,2,2,1,2536,YES,2518,"2361 OLD FARM CT, Zanesville OH",NA,NA,NA
17-75-05-04-000,OLD FARM CT,"$12,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"OLD FARM CT, Zanesville OH",39.9688385,-82.02615879999999,4815.778096713697
17-75-05-06-000,2337 OLD FARM CT,"$271,700.00",1,1998,2,3,1,2088,YES,2088,"2337 OLD FARM CT, Zanesville OH",39.9685569,-82.026664,4784.280330365595
17-75-05-12-000,2357 OAK MEADOW LN,"$274,400.00",1,1997,3,3,1,2280,YES,2280,"2357 OAK MEADOW LN, Zanesville OH",39.969945,-82.0271209,4938.994491831933
81-18-03-08-000,515 PUTNAM AVE,"$10,500.00",NA,NA,NA,NA,NA,NA,NA,NA,"515 PUTNAM AVE, Zanesville OH",NA,NA,NA
81-18-03-11-000,551 PUTNAM AVE,"$35,000.00",3,1901,6,3,0,3066,YES,511,"551 PUTNAM AVE, Zanesville OH",39.9302517,-82.00718669999999,1737.596019540402
81-18-03-15-000,548 WOODLAWN AVE,"$27,800.00",2,1901,3,2,0,1750,YES,854,"548 WOODLAWN AVE, Zanesville OH",39.9302673,-82.0083733,1641.777636129945
81-18-03-19-000,522 WOODLAWN AVE,"$102,200.00",2,1901,0,3,0,2616,YES,1308,"522 WOODLAWN AVE, Zanesville OH",39.930894,-82.00814299999999,1683.6535497118682
81-18-03-21-000,224 JEFFERSON ST,"$35,700.00",2,1901,4,1,0,1484,YES,892,"224 JEFFERSON ST, Zanesville OH",39.93126549999999,-82.0079703,1712.3131560504644
81-19-02-02-000,304 WOODLAWN AVE,"$83,100.00",3,1805,4,2,1,4483,YES,1589,"304 WOODLAWN AVE, Zanesville OH",39.9344827,-82.0081362,1862.448109991698
81-19-02-03-000,320 WOODLAWN AVE,"$86,300.00",2,1920,5,5,0,4083,YES,1843,"320 WOODLAWN AVE, Zanesville OH",39.9341877,-82.008346,1829.9033815598427
81-19-02-10-000,227 ADAMS ST,"$62,000.00",2,1901,4,2,0,3250,YES,594,"227 ADAMS ST, Zanesville OH",39.93329300000001,-82.0081348,1795.5895148393872
81-19-02-12-000,333 PUTNAM AVE,"$520,800.00",NA,NA,NA,NA,NA,NA,NA,NA,"333 PUTNAM AVE, Zanesville OH",39.9333307,-82.0076833,1831.5040488849756
81-19-02-15-000,315 PUTNAM AVE,"$8,600.00",NA,NA,NA,NA,NA,NA,NA,NA,"315 PUTNAM AVE, Zanesville OH",39.933842,-82.00761399999999,1864.1367247476478
