parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea,fullAddress,latitude,longitude,distanceFromWarehouseMeters
81-46-02-02-000,1470 SHARON AVE,"$50,600.00",1,1937,2,2,0,678,YES,678,"1470 SHARON AVE, Zanesville OH",39.9348434,-81.9873083,3509.6749934080626
81-46-02-04-000,JORDAN AVE,"$1,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"JORDAN AVE, Zanesville OH",39.93435119999999,-81.9870509,3515.0810118205277
81-46-02-05-000,323 JORDAN AVE,"$39,300.00",1,1928,2,1,0,784,YES,784,"323 JORDAN AVE, Zanesville OH",39.934454,-81.98731599999999,3496.561458200912
81-46-02-11-000,347 JORDAN AVE,"$53,600.00",1.5,1925,4,1,0,1432,YES,756,"347 JORDAN AVE, Zanesville OH",39.933906,-81.98736,3476.2097787251355
81-46-02-12-000,351 JORDAN AVE,"$38,700.00",1,1920,2,1,0,936,YES,936,"351 JORDAN AVE, Zanesville OH",39.933797,-81.987369,3472.255333615707
81-46-03-01-000,365 WHITE OAK AVE,"$48,200.00",1,1940,3,1,0,1216,YES,1216,"365 WHITE OAK AVE, Zanesville OH",39.9334316,-81.98616419999999,3561.3774589213353
81-46-03-02-000,365 WHITE OAK AVE,"$8,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"365 WHITE OAK AVE, Zanesville OH",39.9334316,-81.98616419999999,3561.3774589213353
81-46-03-03-000,403 WHITE OAK AVE,"$41,400.00",1,1890,2,1,0,1232,YES,672,"403 WHITE OAK AVE, Zanesville OH",39.9331307,-81.98616270000001,3553.435942560116
81-46-03-19-000,BOWMAN ST,$800.00,NA,NA,NA,NA,NA,NA,NA,NA,"BOWMAN ST, Zanesville OH",39.9328103,-81.9868362,3489.2088248041496
81-47-03-01-000,STONE AVE,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"STONE AVE, Zanesville OH",39.9336247,-81.9911398,3157.386278380973
81-47-03-04-000,1377 STONE ST,"$35,000.00",1,1901,2,1,0,624,YES,624,"1377 STONE ST, Zanesville OH",39.933425,-81.991254,3141.791167101054
81-47-03-07-000,1387 STONE ST,"$34,000.00",1,1920,2,1,0,1020,YES,430,"1387 STONE ST, Zanesville OH",39.9332909,-81.991126,3148.187876816898
81-47-03-08-000,1395 STONE ST,"$83,400.00",1,2001,3,2,0,1440,YES,1396,"1395 STONE ST, Zanesville OH",39.933077,-81.990911,3159.480294072745
81-47-03-12-000,1399 STONE ST,"$28,100.00",1,1920,2,1,0,1164,YES,1004,"1399 STONE ST, Zanesville OH",39.932808,-81.990644,3173.7495967154878
81-47-04-05-000,ST CHARLES ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"ST CHARLES ST, Zanesville OH",39.9333732,-81.99155019999999,3115.9015453288976
81-47-04-06-000,ST CHARLES ST,"$35,300.00",1,2004,3,2,0,1918,YES,1682,"ST CHARLES ST, Zanesville OH",39.9333732,-81.99155019999999,3115.9015453288976
81-47-04-10-000,ST CHARLES ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"ST CHARLES ST, Zanesville OH",39.9333732,-81.99155019999999,3115.9015453288976
81-47-04-11-000,ST CHARLES ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"ST CHARLES ST, Zanesville OH",39.9333732,-81.99155019999999,3115.9015453288976
81-47-04-13-000,ST CHARLES ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"ST CHARLES ST, Zanesville OH",39.9333732,-81.99155019999999,3115.9015453288976
81-47-04-15-000,ST CHARLES ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"ST CHARLES ST, Zanesville OH",39.9333732,-81.99155019999999,3115.9015453288976
81-47-05-05-000,1440 ST JOHN ST,$800.00,NA,NA,NA,NA,NA,NA,NA,NA,"1440 ST JOHN ST, Zanesville OH",39.932679,-81.9918859,3067.5895520051504
81-47-05-06-000,1436 ST JOHN ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"1436 ST JOHN ST, Zanesville OH",39.9325789,-81.991826,3069.685083825864
81-47-05-09-000,ST JOHN ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"ST JOHN ST, Zanesville OH",39.9325365,-81.99137429999999,3105.8170097734132
81-48-01-02-000,1204 DANVILLE ST,"$1,300.00",NA,NA,NA,NA,NA,NA,NA,NA,"1204 DANVILLE ST, Zanesville OH",39.9316768,-81.99432329999999,2838.3400131817734
81-48-01-06-000,1234 DANVILLE ST,"$21,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"1234 DANVILLE ST, Zanesville OH",39.9316602,-81.9939139,2871.8505235429006
81-48-02-06-000,SELSAM,"$10,700.00",NA,NA,NA,NA,NA,NA,NA,NA,"SELSAM, Zanesville OH",39.9314014,-81.9938837,2867.7127026623275
81-48-02-07-000,324 CALVERT ST,NA,1,1901,2,1,0,528,NO,0,"324 CALVERT ST, Zanesville OH",39.9333313,-81.9950193,2831.255066388851
81-50-99-16-000,385 WAYNE AVE,"$1,900.00",NA,NA,NA,NA,NA,NA,NA,NA,"385 WAYNE AVE, Zanesville OH",39.932089,-82.00049899999999,2343.638629748858
81-50-99-18-000,498 WAYNE AVE,"$6,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"498 WAYNE AVE, Zanesville OH",39.931907,-82.000632,2326.6329731067385
